Feature,Importance
bool__is_in_progress,0.4087334
bool__low_rating,0.054583404
bool__is_delivered,0.04234969
bool__high_rating,0.03736935
cat__purchase_month_name_June,0.013535147
cat__customer_state_SP,0.0103689255
cat__customer_state_RJ,0.009618531
cat__purchase_month_name_January,0.009573308
cat__customer_state_MG,0.008908173
cat__customer_state_AL,0.008817098
cat__purchase_month_name_March,0.008599474
cat__purchase_month_name_November,0.007945786
cat__purchase_month_name_July,0.0073011327
cat__customer_state_PR,0.0069182427
num__purchase_month,0.005838324
num__purchase_year,0.005703888
cat__customer_city_hortolandia,0.005449284
cat__customer_city_teresina,0.0050909547
num__estimated_delivery_days,0.0050863577
cat__customer_state_BA,0.0048621898
cat__customer_city_maceio,0.0047555557
cat__customer_city_sao goncalo,0.0046752384
cat__customer_state_MA,0.0046544247
cat__purchase_month_name_February,0.0045296666
cat__purchase_month_name_May,0.004326617
cat__customer_state_RS,0.0043217656
cat__purchase_month_name_August,0.0042435504
cat__customer_city_brasilia,0.0041911965
cat__customer_city_florianopolis,0.004117571
cat__purchase_month_name_April,0.0040962547
cat__customer_city_porto alegre,0.0037742793
cat__customer_state_MS,0.0036247927
cat__customer_state_SC,0.003622055
bool__approval_after_carrier_flag,0.0035539137
cat__customer_state_CE,0.0035011508
num__customer_zip_code_prefix,0.0034990588
cat__customer_state_ES,0.0034028809
cat__purchase_month_name_December,0.003349283
cat__payment_type_boleto,0.0033272041
num__purchase_quarter,0.0029345064
cat__customer_city_salvador,0.0029116296
num__purchase_day,0.0028312523
cat__customer_city_campinas,0.0027476305
cat__customer_city_rio de janeiro,0.002640457
cat__customer_city_sao paulo,0.002570807
cat__customer_state_TO,0.0025016915
cat__customer_state_PA,0.002443394
cat__purchase_weekday_Monday,0.002412573
cat__customer_city_franco da rocha,0.002317165
cat__customer_state_PE,0.0022848973
cat__purchase_weekday_Tuesday,0.0022675365
cat__customer_city_mage,0.0022460085
cat__customer_state_DF,0.0022023933
cat__customer_state_PI,0.0021985855
cat__purchase_weekday_Saturday,0.0021520131
cat__customer_city_jaragua do sul,0.0020972467
cat__purchase_weekday_Sunday,0.0020811886
cat__payment_type_credit_card,0.0020764929
"cat__payment_type_credit_card, voucher",0.0020714449
cat__purchase_weekday_Wednesday,0.0020693887
cat__customer_city_mogi das cruzes,0.002016708
cat__purchase_weekday_Thursday,0.0019956557
cat__customer_city_itatiba,0.0019866112
cat__customer_city_santo andre,0.0019749773
cat__purchase_month_name_September,0.0019745121
num__total_payment,0.00195681
cat__customer_city_braganca paulista,0.0019523755
num__purchase_hour,0.0019487682
cat__customer_city_guarulhos,0.001948248
num__avg_payment_per_installment,0.0019312092
cat__purchase_weekday_Friday,0.0019258534
cat__customer_city_cotia,0.0018995189
cat__customer_city_sao joao de meriti,0.0018955453
cat__customer_city_belo horizonte,0.0018701386
cat__customer_city_sao luis,0.0018306588
cat__customer_city_santa maria,0.0018148426
num__max_installments,0.001806143
cat__customer_city_nova friburgo,0.0017826643
cat__purchase_month_name_October,0.0017553669
cat__customer_city_taboao da serra,0.0017549744
cat__customer_city_santos,0.0017385993
cat__customer_city_bauru,0.0017265175
cat__customer_city_governador valadares,0.0017255069
cat__customer_city_aracatuba,0.0017193545
cat__customer_city_botucatu,0.0017167964
cat__customer_city_santarem,0.0016703947
cat__customer_city_jaboatao dos guararapes,0.0016673529
cat__payment_type_voucher,0.0016509123
cat__customer_city_goiania,0.0016476606
cat__customer_city_piracicaba,0.0016390884
cat__customer_city_uberaba,0.0016382696
cat__customer_city_curitiba,0.0016304797
cat__customer_city_maua,0.0016293335
cat__customer_state_GO,0.0016292754
cat__customer_city_sao vicente,0.0016256861
cat__customer_city_campo grande,0.001619815
cat__customer_city_santana de parnaiba,0.0016001792
cat__customer_city_nova iguacu,0.001579658
cat__customer_city_fortaleza,0.001569136
cat__customer_city_maringa,0.0015647105
cat__customer_city_lavras,0.0015496485
cat__customer_city_sorocaba,0.0015469077
cat__customer_city_sao jose dos campos,0.0015427266
cat__customer_city_niteroi,0.0015416425
cat__customer_state_PB,0.0015372549
bool__multiple_payment_methods,0.0015303694
cat__customer_city_sao jose dos pinhais,0.0015125077
cat__customer_city_contagem,0.0014786788
cat__customer_city_poa,0.0014632576
cat__customer_city_sao bernardo do campo,0.0014609932
cat__customer_city_guaruja,0.0014470823
cat__customer_city_cachoeiro de itapemirim,0.0014438254
cat__customer_city_vila velha,0.0014419788
cat__customer_city_araruama,0.001421121
cat__customer_city_praia grande,0.0014047249
cat__customer_city_recife,0.0014046459
cat__customer_city_santa barbara d'oeste,0.0013993308
cat__customer_city_natal,0.0013916399
cat__customer_city_presidente prudente,0.0013811782
cat__customer_city_taubate,0.0013694805
cat__customer_city_uberlandia,0.001365213
cat__customer_city_indaiatuba,0.0013603752
cat__payment_type_debit_card,0.0013590115
cat__customer_city_balneario camboriu,0.0013532495
cat__customer_city_carapicuiba,0.0013465569
cat__customer_city_vitoria da conquista,0.001342223
cat__customer_city_rio grande,0.0013294488
cat__customer_city_pocos de caldas,0.0013220893
cat__customer_city_petropolis,0.0013211287
cat__customer_city_suzano,0.0013202537
cat__customer_city_londrina,0.0013200205
cat__customer_city_americana,0.0013191167
cat__customer_city_joinville,0.0012916755
cat__customer_city_viamao,0.0012778046
cat__customer_city_mesquita,0.001264875
cat__customer_city_limeira,0.0012620414
cat__customer_city_canoas,0.001256266
cat__customer_state_RO,0.001250306
cat__customer_city_sumare,0.0012367939
cat__customer_city_feira de santana,0.0012209588
cat__customer_state_RN,0.0012206906
cat__customer_city_juiz de fora,0.0012162419
cat__customer_city_serra,0.0012151502
cat__customer_city_teresopolis,0.0012030083
